decade,top_genre,total_canciones
1950,adult standards,7
1960,adult standards,34
1960,album rock,57
1960,dutch indie,3
1970,adult standards,40
1970,album rock,181
1970,alternative rock,3
1970,dance pop,3
1970,dance rock,4
1970,dutch indie,2
1970,dutch pop,1
1980,adult standards,10
1980,album rock,95
1980,alternative metal,5
1980,alternative rock,7
1980,dance pop,11
1980,dance rock,23
1980,dutch indie,10
1980,dutch pop,7
1990,adult standards,11
1990,album rock,37
1990,alternative metal,30
1990,alternative rock,51
1990,dance pop,8
1990,dance rock,19
1990,dutch indie,8
1990,dutch pop,10
2000,adult standards,16
2000,album rock,24
2000,alternative metal,26
2000,alternative rock,17
2000,dance pop,29
2000,dance rock,2
2000,dutch indie,19
2000,dutch pop,26
2010,adult standards,5
2010,album rock,19
2010,alternative metal,9
2010,alternative rock,8
2010,dance pop,32
2010,dance rock,4
2010,dutch indie,33
2010,dutch pop,44
