top_genre,total_canciones,popularity_promedio,tasa_premium,tasa_zona_critica,popularity_global
acid jazz,1,69.0,0.0,0.0,59.53
acoustic pop,4,66.75,50.0,0.0,59.53
adult standards,123,62.58,20.33,13.01,59.53
afropop,1,59.0,0.0,0.0,59.53
alaska indie,1,41.0,0.0,100.0,59.53
album rock,413,60.69,20.82,19.85,59.53
alternative country,1,51.0,0.0,0.0,59.53
alternative dance,15,56.8,6.67,13.33,59.53
alternative hip hop,2,74.5,50.0,0.0,59.53
alternative metal,70,66.01,37.14,5.71,59.53
alternative pop,1,43.0,0.0,100.0,59.53
alternative pop rock,7,49.71,0.0,57.14,59.53
alternative rock,86,66.94,39.53,3.49,59.53
arkansas country,9,52.0,11.11,44.44,59.53
art pop,14,59.43,7.14,14.29,59.53
art rock,40,60.2,15.0,15.0,59.53
atl hip hop,1,79.0,100.0,0.0,59.53
australian alternative rock,1,33.0,0.0,100.0,59.53
australian americana,1,50.0,0.0,0.0,59.53
australian dance,1,71.0,0.0,0.0,59.53
australian indie folk,1,67.0,0.0,0.0,59.53
australian pop,8,63.38,37.5,25.0,59.53
australian psych,2,80.5,100.0,0.0,59.53
australian rock,3,55.0,0.0,33.33,59.53
austropop,2,42.0,0.0,50.0,59.53
barbadian pop,3,64.0,0.0,0.0,59.53
baroque pop,6,66.83,50.0,16.67,59.53
basshall,1,39.0,0.0,100.0,59.53
bebop,1,65.0,0.0,0.0,59.53
belgian pop,4,54.5,0.0,25.0,59.53
belgian rock,8,43.88,0.0,75.0,59.53
big beat,11,57.36,0.0,18.18,59.53
big room,7,69.43,42.86,0.0,59.53
blues,8,59.12,0.0,0.0,59.53
blues rock,15,55.53,6.67,33.33,59.53
bow pop,2,62.0,0.0,0.0,59.53
boy band,6,72.83,66.67,0.0,59.53
brill building pop,6,60.0,16.67,16.67,59.53
british alternative rock,2,28.0,0.0,100.0,59.53
british folk,4,64.25,25.0,0.0,59.53
british invasion,36,68.08,27.78,2.78,59.53
british singer-songwriter,1,66.0,0.0,0.0,59.53
british soul,31,66.39,38.71,6.45,59.53
britpop,11,53.64,0.0,36.36,59.53
bubblegum pop,3,52.0,0.0,33.33,59.53
canadian folk,7,60.86,0.0,14.29,59.53
canadian pop,5,63.0,60.0,40.0,59.53
canadian rock,1,57.0,0.0,0.0,59.53
candy pop,2,47.0,0.0,50.0,59.53
carnaval limburg,10,36.5,0.0,100.0,59.53
ccm,1,80.0,100.0,0.0,59.53
celtic,5,48.6,0.0,60.0,59.53
celtic punk,1,83.0,100.0,0.0,59.53
celtic rock,7,66.71,42.86,0.0,59.53
chamber pop,7,56.0,0.0,28.57,59.53
chanson,9,50.56,0.0,33.33,59.53
chicago soul,1,67.0,0.0,0.0,59.53
