top_genre,total_canciones,popularity_promedio,popularity_mediana,popularity_std
modern rock,49,68.59183673469387,70.0,11.681392552807607
dance pop,83,68.51807228915662,72.0,12.610836847517717
british invasion,36,68.08333333333333,68.0,6.9297495316518125
permanent wave,38,67.65789473684211,69.0,9.859215241478875
pop,47,67.61702127659575,69.0,14.534147484742034
alternative rock,86,66.94186046511628,68.0,9.40257117671768
british soul,31,66.38709677419355,67.0,8.102170159304393
alternative metal,70,66.01428571428572,67.0,9.53786178623994
adult standards,123,62.577235772357724,64.0,9.824699661768586
classic rock,51,62.15686274509804,65.0,11.846303303595782
album rock,413,60.69491525423729,63.0,12.880100490513
art rock,40,60.2,60.0,10.624596523259191
dance rock,52,59.38461538461539,60.5,11.790913494112363
glam rock,49,58.714285714285715,55.0,12.271240089466644
irish rock,34,58.294117647058826,58.5,12.643190553799274
europop,27,56.7037037037037,56.0,9.726311716223144
dutch cabaret,51,46.05882352941177,49.0,9.529767604104272
classic uk pop,22,45.77272727272727,46.0,10.734598349803392
dutch pop,88,45.23863636363637,46.0,12.250258564647993
dutch indie,75,37.266666666666666,39.0,11.562209334062619
